address,price,rooms,bathrooms,age,covered_surface,terrain_surface
Hilarion de la Quintana al 3500,USD 380.000,5,3,A Estrenar,160  m2,300  m2
Mariano Moreno  al 3100 entre Coronel Francisco Uzal y Fray Justo Sarmiento,USD 240.000,5,3,30 años,135  m2,212  m2
"Chacabuco al 2000, entre buenos aires y olaguer y feliu",USD 270.000,4,2,15 años,102  m2,77  m2
Jose Ingenieros 2600 entre España y Jonas Salk,USD 147.000,3,1,A Estrenar,81  m2,Not found
Hilarión De La Quintana 3500,USD 319.000,4,2,5 años,120  m2,Not found
Hilarion de la Quintana  al 4200,USD 390.000,5,3,Not found,176  m2,134  m2
Coronel Dorrego al 2200 entre José María Paz y Cesario Bernaldo de Quirós,USD 398.000,6,2,8 años,156  m2,161  m2
San Lorenzo al 2000 entre Nicolás Avellaneda y  Santa María de Oro,USD 127.000,2,1,1 año,49  m2,68  m2
Debenedetti al 2700 entre Ayacucho y España,USD 225.000,6,2,25 años,106  m2,80  m2
Villate al 1700,USD 360.000,4,1,10 años,99  m2,Not found
Bouchard al 2400,USD 348.000,5,3,A Estrenar,158  m2,150  m2
Marconi al 2200,USD 260.000,5,2,30 años,126  m2,120  m2
MANUEL BELZU 2500,USD 225.000,3,1,Not found,90  m2,115  m2
ADOLFO BELLOCQ 3200,USD 140.000,6,2,Not found,160  m2,342  m2
Dorrego 3300,USD 400.000,6,3,40 años,210  m2,280  m2
Rosetti 2500,USD 438.000,6,4,30 años,297  m2,288  m2
Valle Grande 2100,USD 249.000,4,2,Not found,Not found,161  m2
Alberdi al 2100,USD 370.000,7,3,30 años,160  m2,282  m2
Rastreador Fournier al 2300,USD 195.000,3,1,70 años,98  m2,158  m2
Salta al 2800,USD 480.000,4,2,70 años,262  m2,298  m2
Pacheco 3400,USD 195.000,6,2,60 años,151  m2,191  m2
Fray Justo Santa Maria de Oro al 3500. Entre Jose Ingenieros y San Lorenzo,USD 230.000,4,2,60 años,124  m2,154  m2
Avellaneda  al 2600 entre Ricardo Gutierrez y  Entre Rios,USD 305.000,5,1,10 años,277  m2,335  m2
LUIS PIEDRA BUENA 3200,USD 220.000,3,2,30 años,94  m2,Not found
PELLIZA 2300,USD 259.000,3,3,A Estrenar,118  m2,Not found
*RESERVADO* 2400,USD 215.000,3,2,Not found,75  m2,57  m2
*RESERVADO*Villate 2000,USD 290.000,5,2,45 años,223  m2,330  m2
Caseros 2000,USD 265.000,3,2,Not found,Error: 'NoneType' object has no attribute 'find',Error: 'NoneType' object has no attribute 'find'
Gdor.Ugarte 2700,USD 295.000,4,2,30 años,170  m2,Not found
GDOR MARCELINO UGARTE 2300,USD 400.000,5,3,Not found,290  m2,Not found
*RESERVADO* Juan B justo 2500,USD 198.000,3,1,65 años,92  m2,149  m2
Jose Ingenieros  al 2800,USD 330.000,4,2,40 años,182  m2,245  m2
Jose Maria Paz al 3600,USD 298.000,4,1,20 años,163  m2,154  m2
Pelliza al 600,USD 550.000,6,3,40 años,412  m2,426  m2
ROMA al 600,USD 711.000,5,3,30 años,270  m2,582  m2
Beiro al 2100,USD 190.000,4,1,25 años,125  m2,Not found
Guillermo Marconi 2400,USD 300.000,5,5,50 años,208  m2,160  m2
Jose Ingenieros  al 2300,USD 340.000,6,3,40 años,191  m2,245  m2
Corrientes al 700,USD 420.000,4,2,20 años,285  m2,403  m2
España  al 3100,USD 320.000,4,1,25 años,175  m2,171  m2
